customer_id,age,city,employment_type,monthly_income_inr,credit_score,tenure_months,loan_purpose,loan_amount_inr,existing_loans,dti_ratio,is_default
CR200000,50,Pune,Salaried,51550.33,594,12,Vehicle,647308.01,0,0.85,0
CR200001,27,Kolkata,Freelancer,36289.57,503,12,Education,488146.41,0,0.85,0
CR200002,35,Delhi,Salaried,27764.08,574,36,Debt Consolidation,189804.14,0,0.185,0
CR200003,26,Pune,Self-Employed,42564.48,492,48,Home Renovation,342645.03,1,0.258,1
CR200004,30,Bangalore,Self-Employed,129983.98,577,48,Vehicle,1507695.97,2,0.387,1
CR200005,21,Delhi,Self-Employed,90469.51,575,24,Vehicle,1009668.61,1,0.499,0
CR200006,27,Mumbai,Salaried,35951.08,563,12,Business Expansion,304761.27,0,0.744,0
CR200007,44,Chennai,Salaried,53809.19,623,48,Medical,248524.38,1,0.132,0
CR200008,52,Delhi,Salaried,26410.36,536,36,Debt Consolidation,141086.9,1,0.207,0
CR200009,35,Chennai,Salaried,33168.69,594,36,Personal,384907.11,1,0.376,0
CR200010,50,Delhi,Self-Employed,56993.86,629,24,Medical,461180.34,0,0.34,0
CR200011,33,Mumbai,Salaried,56637.65,563,36,Personal,376353.18,3,0.286,0
CR200012,34,Ahmedabad,Business Owner,113773.3,590,36,Vehicle,1209363.66,0,0.278,0
CR200013,44,Kolkata,Salaried,71312.75,541,24,Medical,339607.47,0,0.184,0
CR200014,23,Hyderabad,Salaried,30301.16,656,36,Personal,92962.26,1,0.173,0
CR200015,54,Hyderabad,Salaried,175440.34,580,84,Business Expansion,1754671.08,1,0.15,0
CR200016,27,Mumbai,Salaried,55281.94,574,48,Vehicle,350600.44,1,0.136,0
CR200017,53,Hyderabad,Business Owner,147775.21,629,12,Education,948043.03,1,0.58,0
CR200018,35,Pune,Self-Employed,41840.29,655,48,Medical,237473.98,2,0.185,0
CR200019,50,Kolkata,Business Owner,134064.27,614,24,Personal,763657.28,1,0.253,0
CR200020,30,Chennai,Freelancer,54833.15,632,48,Personal,696377.64,0,0.242,0
CR200021,43,Delhi,Salaried,67374.45,558,24,Business Expansion,897392.84,1,0.655,1
CR200022,42,Kolkata,Freelancer,15000.0,627,48,Personal,159844.73,1,0.269,0
CR200023,33,Mumbai,Business Owner,109079.3,547,48,Personal,899129.79,0,0.143,0
CR200024,41,Delhi,Salaried,53085.42,569,36,Education,612121.82,1,0.376,1
CR200025,48,Delhi,Self-Employed,21017.51,606,12,Vehicle,246345.47,1,0.85,1
CR200026,34,Bangalore,Business Owner,153245.66,609,36,Home Renovation,1939214.08,0,0.398,0
CR200027,45,Kolkata,Salaried,19049.27,575,84,Personal,190727.37,1,0.166,0
CR200028,46,Delhi,Salaried,36934.7,591,48,Medical,428500.07,0,0.246,0
CR200029,37,Chennai,Salaried,99827.41,595,36,Home Renovation,712640.08,1,0.287,0
CR200030,29,Delhi,Freelancer,19590.99,570,48,Business Expansion,248302.43,1,0.297,0
CR200031,36,Bangalore,Freelancer,44024.86,600,36,Debt Consolidation,425103.08,0,0.256,0
CR200032,32,Pune,Salaried,62666.62,692,24,Medical,213642.19,0,0.141,0
CR200033,34,Hyderabad,Self-Employed,23532.32,544,24,Business Expansion,251084.41,0,0.465,0
CR200034,21,Bangalore,Business Owner,71885.6,600,24,Home Renovation,707362.27,1,0.425,0
CR200035,28,Ahmedabad,Self-Employed,41097.32,582,12,Personal,169050.0,2,0.418,0
CR200036,21,Ahmedabad,Business Owner,97474.13,531,48,Business Expansion,1151855.33,2,0.307,0
CR200037,39,Mumbai,Freelancer,15000.0,566,36,Personal,97322.68,0,0.226,0
CR200038,21,Pune,Salaried,31669.86,630,12,Personal,113034.13,1,0.331,0
CR200039,23,Mumbai,Salaried,15000.0,524,36,Personal,49991.71,0,0.118,0
CR200040,27,Delhi,Self-Employed,54230.19,585,60,Business Expansion,399247.58,1,0.216,0
CR200041,42,Chennai,Salaried,89312.0,558,24,Personal,295492.63,0,0.139,0
CR200042,33,Kolkata,Salaried,28326.23,596,84,Personal,260715.76,1,0.18,0
CR200043,41,Mumbai,Self-Employed,68183.8,616,24,Vehicle,669296.38,0,0.446,0
CR200044,38,Kolkata,Salaried,53033.99,596,12,Education,229106.47,0,0.333,0
CR200045,43,Ahmedabad,Salaried,59465.02,582,12,Vehicle,410766.82,0,0.603,0
CR200046,37,Delhi,Salaried,57692.37,605,36,Vehicle,667976.03,1,0.35,0
CR200047,38,Ahmedabad,Salaried,32387.82,600,48,Medical,409015.65,0,0.227,0
CR200048,26,Pune,Salaried,25674.24,561,24,Personal,77099.58,2,0.191,0
